player_id,salary,team_code,HEIGHT,experience,AGE,PLAYER_ID,PLAYER_SEASON_STATS_SEASON,PLAYER_SEASON_STATS_TEAM_code,PLAYER_SEASON_STATS_LEAGUE,PLAYER_SEASON_STATS_FTA,PLAYER_SEASON_STATS_POSITION,PLAYER_SEASON_STATS_G,PLAYER_SEASON_STATS_GS,PLAYER_SEASON_STATS_MP,PLAYER_SEASON_STATS_FG,PLAYER_SEASON_STATS_FGA,PLAYER_SEASON_STATS_FGP,PLAYER_SEASON_STATS_3P,PLAYER_SEASON_STATS_3PA,PLAYER_SEASON_STATS_3PP,PLAYER_SEASON_STATS_2P,PLAYER_SEASON_STATS_2PA,PLAYER_SEASON_STATS_2PP,PLAYER_SEASON_STATS_FT,PLAYER_SEASON_STATS_FTP,PLAYER_SEASON_STATS_ORB,PLAYER_SEASON_STATS_DRB,PLAYER_SEASON_STATS_TRB,PLAYER_SEASON_STATS_AST,PLAYER_SEASON_STATS_STL,PLAYER_SEASON_STATS_BLK,PLAYER_SEASON_STATS_TOV,PLAYER_SEASON_STATS_PLAYER_SEASON_STATS_PF,PLAYER_SEASON_STATS_PTS
dudleja01,2151068.0,PHO,197.5,6,28,dudleja01,2010-11,PHO,NBA,218,SF,82,15,2140,300,629,0.477,105,253,0.415,195,376,0.519,162,0.743,111,207,318,108,87,20,77,139,867
lopezro01,1867320.0,PHO,210,5,25,lopezro01,2010-11,PHO,NBA,100,C,67,56,991,179,357,0.501,0,0,0.0,179,357,0.501,74,0.74,82,134,216,8,18,45,48,143,432
barroea01,188558.0,PHO,210,7,32,barroea01,2010-11,PHO,NBA,20,C,12,6,183,12,51,0.235,0,0,0.0,12,51,0.235,12,0.6,16,24,40,4,6,4,11,32,36
collini01,13250000.0,OKC,202.5,9,33,collini01,2010-11,OKC,NBA,73,C,71,2,1524,137,242,0.566,0,0,0.0,137,242,0.566,55,0.753,119,197,316,69,42,31,55,210,329
mohamna01,6883800.0,OKC,205,15,36,mohamna01,2010-11,OKC,NBA,24,C,24,7,429,75,131,0.573,0,0,0.0,75,131,0.573,15,0.625,46,70,116,6,16,10,19,63,165
duranke01,6053663.0,OKC,202.5,6,25,duranke01,2010-11,OKC,NBA,675,SF,78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,594,0.88,57,476,533,214,88,76,218,159,2161
hardeja01,4304520.0,OKC,192.5,4,24,hardeja01,2010-11,OKC,NBA,343,SG,82,5,2189,298,684,0.436,113,324,0.349,185,360,0.514,289,0.843,42,213,255,176,92,24,106,207,998
robinna01,4200000.0,OKC,172.5,8,29,robinna01,2010-11,OKC,NBA,4,PG,4,0,30,4,15,0.267,2,8,0.25,2,7,0.286,3,0.75,0,1,1,6,0,0,2,8,13
westbru01,4017720.0,OKC,187.5,5,25,westbru01,2010-11,OKC,NBA,631,PG,82,82,2847,614,1390,0.442,34,103,0.33,580,1287,0.451,531,0.842,121,258,379,670,155,30,316,207,1793
sefolth01,3250000.0,OKC,192.5,7,29,sefolth01,2010-11,OKC,NBA,79,SG,79,79,2049,157,333,0.471,28,102,0.275,129,231,0.558,59,0.747,65,281,346,111,97,38,55,171,401
cookda02,2169857.0,OKC,192.5,6,26,cookda02,2010-11,OKC,NBA,20,SG,43,0,598,79,181,0.436,65,154,0.422,14,27,0.519,16,0.8,8,64,72,20,14,1,17,51,239
aldrico01,2126520.0,OKC,207.5,3,25,aldrico01,2010-11,OKC,NBA,4,C,18,0,142,8,15,0.533,0,0,0.0,8,15,0.533,2,0.5,13,22,35,4,5,7,8,30,18
maynoer01,1417800.0,OKC,187.5,4,26,maynoer01,2010-11,OKC,NBA,59,PG,82,0,1200,134,333,0.402,37,96,0.385,97,237,0.409,43,0.729,25,96,121,238,35,6,77,96,348
ibakase01,1204200.0,OKC,205,4,24,ibakase01,2010-11,OKC,NBA,184,PF,82,44,2216,335,617,0.543,0,1,0.0,335,616,0.544,138,0.75,214,408,622,22,31,198,71,267,808
mulleby01,1204200.0,OKC,210,4,24,mulleby01,2010-11,OKC,NBA,14,PF,13,0,85,9,28,0.321,0,0,0.0,9,28,0.321,7,0.5,6,18,24,0,2,3,8,11,25
iveyro01,1200000.0,OKC,187.5,9,32,iveyro01,2010-11,OKC,NBA,2,SG,25,0,155,16,38,0.421,7,16,0.438,9,22,0.409,2,1.0,2,14,16,7,6,1,5,17,41
duncati01,18700000.0,SAS,207.5,16,37,duncati01,2010-11,SAS,NBA,257,C,76,76,2156,419,838,0.5,0,4,0.0,419,834,0.502,184,0.716,169,509,678,203,50,146,122,119,1022
parketo01,13500000.0,SAS,185,12,31,parketo01,2010-11,SAS,NBA,303,PG,78,78,2528,555,1069,0.519,25,70,0.357,530,999,0.531,233,0.769,30,208,238,513,90,3,200,135,1368
ginobma01,11854584.0,SAS,195,11,36,ginobma01,2010-11,SAS,NBA,410,SG,80,79,2426,441,1018,0.433,154,441,0.349,287,577,0.497,357,0.871,42,253,295,393,123,28,174,163,1393
jefferi01,8400000.0,SAS,197.5,12,33,jefferi01,2010-11,SAS,NBA,195,SF,81,81,2459,304,642,0.474,135,307,0.44,169,335,0.504,148,0.759,54,256,310,107,38,34,93,164,891
splitti01,3400000.0,SAS,207.5,3,29,splitti01,2010-11,SAS,NBA,140,C,60,6,738,101,191,0.529,0,1,0.0,101,190,0.532,76,0.543,72,129,201,26,29,17,32,91,278
bonnema01,3000000.0,SAS,205,9,33,bonnema01,2010-11,SAS,NBA,43,PF,66,1,1432,172,371,0.464,105,230,0.457,67,141,0.475,32,0.744,60,179,239,60,26,21,27,110,481
anderja01,1361400.0,SAS,195,3,24,anderja01,2010-11,SAS,NBA,18,SF,26,2,286,31,81,0.383,18,46,0.391,13,35,0.371,14,0.778,2,21,23,18,3,6,13,24,94
hillge01,1157160.0,SAS,185,5,27,hillge01,2010-11,SAS,NBA,270,PG,76,5,2148,287,633,0.453,77,204,0.377,210,429,0.49,233,0.863,24,175,199,193,66,21,99,153,884
blairde01,918000.0,SAS,197.5,4,24,blairde01,2010-11,SAS,NBA,137,PF,81,65,1734,292,583,0.501,0,2,0.0,292,581,0.503,90,0.657,215,350,565,77,95,42,113,213,674
nealga01,525000.0,SAS,190,3,29,nealga01,2010-11,SAS,NBA,104,SG,80,1,1685,285,632,0.451,129,308,0.419,156,324,0.481,84,0.808,21,175,196,96,27,4,78,148,783
novakst01,350179.0,SAS,205,7,30,novakst01,2010-11,SAS,NBA,8,SF,23,0,197,31,59,0.525,23,42,0.548,8,17,0.471,8,1.0,4,19,23,3,1,5,4,11,93
greenda02,94154.0,SAS,195,4,26,greenda02,2010-11,SAS,NBA,0,SG,8,0,92,17,35,0.486,7,19,0.368,10,16,0.625,0,0.0,3,12,15,2,2,1,5,7,41
geeal01,76219.0,SAS,195,4,26,geeal01,2010-11,SAS,NBA,0,SG,5,0,18,1,3,0.333,0,0,0.0,1,3,0.333,0,0.0,2,1,3,0,0,2,3,3,2
simmobo01,71951.0,SAS,197.5,,,simmobo01,2010-11,SAS,NBA,0,SF,2,0,16,0,3,0,0,3,0.0,0,0,0.0,0,0.0,0,0,0,2,0,0,0,2,0
